"Name","Runtime","Notes","Tags","catch_dropout","insert_dropout","learning_rate","max_train_steps","model_name_or_path","num_warmup_steps","training_size","use_modded","accuracy","epoch","eval_loss","train_loss"
"sweep_12a_00_modded/run_63","274","-","gen_12","0.02","0.15","0.000005","2900","bert-base-cased","575","1","","0.7867647058823529","16","1.0403613362993511","0.10807797826569655"
"sweep_12a_00_modded/run_61","290","-","gen_12","0.02","0.15","0.000005","1160","bert-base-cased","230","1","","0.7867647058823529","17","0.9562385422842844","0.18084118284028153"
"sweep_12a_02_modded/run_014","445","-","gen_12","0","0.15","0.00001","1950","bert-base-cased","390","1","","0.6678700361010831","27","1.1935629844665527","0.07345942961863983"
"sweep_12a_02_modded/run_011","331","-","gen_12","0","0.15","0.00001","1950","bert-base-cased","390","1","","0.6425992779783394","20","1.4713122367858886","0.06384460742657001"
"sweep_12a_02_modded/run_008","236","-","gen_12","0.02","0.1","0.00001","780","bert-base-cased","156","1","","0.6606498194945848","15","1.2367337226867676","0.034852293821481556"
"sweep_12a_02_modded/run_011","649","-","gen_12","0.02","0.1","0.000005","1950","bert-base-cased","390","1","","0.6750902527075813","40","1.4500046730041505","0.04448574628585424"
"sweep_12a_02_modded/run_008","221","-","gen_12","0.02","0.1","0.000005","780","bert-base-cased","156","1","","0.6823104693140795","14","1.063505744934082","0.05528790522844364"
"sweep_12a_02_modded/run_007","225","-","gen_12","0.02","0.1","0.00001","1950","bert-base-cased","390","1","","0.6462093862815884","14","1.3325422286987303","0.03447967309218187"
"sweep_12a_02_modded/run_003","234","-","gen_12","0","0.1","0.000005","780","bert-base-cased","156","1","","0.6895306859205776","15","1.040714645385742","0.09403515473390237"
"sweep_12a_02_modded/run_005","236","-","gen_12","0","0.1","0.00001","1950","bert-base-cased","390","1","","0.6353790613718412","15","1.4435383796691894","0.04152957292703482"
"sweep_12a_02_modded/run_017","422","-","gen_12","0.02","0.15","0.000005","1950","bert-base-cased","390","1","","0.6642599277978339","25","1.1863812446594235","0.11434150353456154"
"sweep_12a_02_modded/run_003","296","-","gen_12","0","0.1","0.00001","780","bert-base-cased","156","1","","0.6714801444043321","19","1.2923233032226562","0.017913051140614044"
"sweep_12a_02_modded/run_009","167","-","gen_12","0.02","0.1","0.00001","1950","bert-base-cased","390","1","","0.6534296028880866","10","1.2741469383239743","0.055625646542280145"
"sweep_12a_02_modded/run_005","222","-","gen_12","0.02","0.1","0.00001","780","bert-base-cased","156","1","","0.6642599277978339","14","1.265389919281006","0.0392529200284909"
"sweep_12a_02_modded/run_015","328","-","gen_12","0.02","0.15","0.00001","780","bert-base-cased","156","1","","0.6823104693140795","19","1.2667166709899902","0.04937411271608793"
"sweep_12a_02_modded/run_001","205","-","gen_12","0","0.1","0.00001","780","bert-base-cased","156","1","","0.6642599277978339","13","1.2014547348022462","0.04676595100989708"
"sweep_12a_02_modded/run_009","202","-","gen_12","0","0.15","0.00001","780","bert-base-cased","156","1","","0.6462093862815884","12","1.2693156242370605","0.0964655203697009"
"sweep_12a_02_modded/run_010","263","-","gen_12","0.02","0.1","0.000005","1950","bert-base-cased","390","1","","0.6678700361010831","16","1.2115617752075196","0.060946048834385015"
"sweep_12a_02_modded/run_004","251","-","gen_12","0","0.1","0.00001","780","bert-base-cased","156","1","","0.6498194945848376","16","1.2343666076660156","0.047584289159530245"
"sweep_12a_02_modded/run_013","193","-","gen_12","0.02","0.15","0.00001","780","bert-base-cased","156","1","","0.6534296028880866","11","1.258734130859375","0.08277128904293744"
"sweep_12a_02_modded/run_015","207","-","gen_12","0","0.15","0.000005","1950","bert-base-cased","390","1","","0.6498194945848376","12","1.1821617126464845","0.1588158240685096"
"sweep_12a_02_modded/run_019","290","-","gen_12","0.02","0.15","0.000005","1950","bert-base-cased","390","1","","0.6534296028880866","17","1.2881130218505858","0.0836792053320469"
"sweep_12a_02_modded/run_012","201","-","gen_12","0","0.15","0.00001","1950","bert-base-cased","390","1","","0.6245487364620939","12","1.291457748413086","0.35670984708345854"
"sweep_12a_02_modded/run_015","179","-","gen_12","0.02","0.15","0.00001","1950","bert-base-cased","390","1","","0.6353790613718412","10","1.2939083099365234","0.15230749814938277"
"sweep_12a_02_modded/run_016","210","-","gen_12","0.02","0.15","0.00001","780","bert-base-cased","156","1","","0.6678700361010831","12","1.2701258659362793","0.12279800268319938"
"sweep_12a_02_modded/run_013","288","-","gen_12","0","0.15","0.000005","1950","bert-base-cased","390","1","","0.6425992779783394","17","1.3410774230957032","0.1856089249635354"
"sweep_12a_02_modded/run_010","203","-","gen_12","0","0.15","0.000005","780","bert-base-cased","156","1","","0.6606498194945848","12","1.0103400230407715","0.1752040080535106"
"sweep_12a_02_modded/run_006","189","-","gen_12","0","0.1","0.000005","1950","bert-base-cased","390","1","","0.6498194945848376","12","1.136369037628174","0.06195856363345415"
"sweep_12a_02_modded/run_012","286","-","gen_12","0","0.15","0.000005","1950","bert-base-cased","390","1","","0.6642599277978339","17","1.2092463493347168","0.09184562854277782"
"sweep_12a_02_modded/run_011","246","-","gen_12","0","0.15","0.000005","780","bert-base-cased","156","1","","0.6570397111913358","15","1.0716782569885257","0.2041455782376803"
"sweep_12a_02_modded/run_002","176","-","gen_12","0","0.1","0.00001","780","bert-base-cased","156","1","","0.6389891696750902","11","1.3893647193908691","0.05441465133275741"
"sweep_12a_02_modded/run_005","193","-","gen_12","0.02","0.1","0.000005","780","bert-base-cased","156","1","","0.6606498194945848","12","1.030106258392334","0.128169609950139"
"sweep_12a_02_modded/run_010","204","-","gen_12","0","0.15","0.00001","780","bert-base-cased","156","1","","0.6570397111913358","12","1.2614017486572269","0.11357495723626553"
"sweep_12a_02_modded/run_006","277","-","gen_12","0","0.1","0.00001","1950","bert-base-cased","390","1","","0.6245487364620939","18","1.5536981582641602","0.051456885460095525"
"sweep_12a_02_modded/run_014","210","-","gen_12","0","0.15","0.000005","1950","bert-base-cased","390","1","","0.6606498194945848","12","1.0934314727783203","0.12386155739808694"
"sweep_12a_02_modded/run_009","280","-","gen_12","0.02","0.1","0.000005","1950","bert-base-cased","390","1","","0.6678700361010831","17","1.1777921676635743","0.05859823715992463"
"sweep_12a_02_modded/run_007","207","-","gen_12","0.02","0.1","0.00001","780","bert-base-cased","156","1","","0.6534296028880866","13","1.2258382797241212","0.026970774699480105"
"sweep_12a_02_modded/run_003","173","-","gen_12","0","0.1","0.00001","1950","bert-base-cased","390","1","","0.6570397111913358","11","1.171548843383789","0.05781265405508188"
"sweep_12a_02_modded/run_012","156","-","gen_12","0","0.15","0.00001","780","bert-base-cased","156","1","","0.6425992779783394","9","1.123613166809082","0.17851812411577272"
"sweep_12a_02_modded/run_007","252","-","gen_12","0.02","0.1","0.000005","780","bert-base-cased","156","1","","0.6534296028880866","16","1.1549967765808105","0.07541684003976676"
"sweep_12a_02_modded/run_005","190","-","gen_12","0","0.1","0.000005","1950","bert-base-cased","390","1","","0.6498194945848376","12","1.014149188995361","0.10174353917439778"
"sweep_12a_02_modded/run_013","244","-","gen_12","0.02","0.15","0.000005","780","bert-base-cased","156","1","","0.6498194945848376","14","1.143446159362793","0.23847073775071365"
"sweep_12a_02_modded/run_016","211","-","gen_12","0.02","0.15","0.000005","780","bert-base-cased","156","1","","0.6425992779783394","12","0.9895655632019044","0.14568323966784355"
"sweep_12a_02_modded/run_007","280","-","gen_12","0","0.1","0.000005","1950","bert-base-cased","390","1","","0.6498194945848376","18","1.2931744575500488","0.062246469350961536"
"sweep_12a_02_modded/run_008","217","-","gen_12","0","0.15","0.00001","780","bert-base-cased","156","1","","0.6570397111913358","13","1.241855812072754","0.14974102607140174"
"sweep_12a_02_modded/run_011","238","-","gen_12","0","0.15","0.000005","1950","bert-base-cased","390","1","","0.6353790613718412","14","1.0990639686584474","0.258972534766564"
"sweep_12a_02_modded/run_002","236","-","gen_12","0","0.1","0.000005","780","bert-base-cased","156","1","","0.6534296028880866","15","1.0455817222595214","0.07767114272484413"
"sweep_12a_02_modded/run_017","178","-","gen_12","0.02","0.15","0.00001","1950","bert-base-cased","390","1","","0.6498194945848376","10","1.320348358154297","0.13098653157552084"
"sweep_12a_02_modded/run_011","156","-","gen_12","0","0.15","0.00001","780","bert-base-cased","156","1","","0.6425992779783394","9","1.3335091590881347","0.09204215881152032"
"sweep_12a_02_modded/run_001","175","-","gen_12","0","0.1","0.000005","780","bert-base-cased","156","1","","0.6101083032490975","11","1.1716187477111817","0.14457357846773589"
"sweep_12a_02_modded/run_004","179","-","gen_12","0.02","0.1","0.00001","780","bert-base-cased","156","1","","0.628158844765343","11","1.7021007537841797","0.07836418274121407"
"sweep_12a_02_modded/run_004","248","-","gen_12","0","0.1","0.000005","1950","bert-base-cased","390","1","","0.628158844765343","16","1.1703365325927737","0.05765008315061911"
"sweep_12a_02_modded/run_008","220","-","gen_12","0.02","0.1","0.000005","1950","bert-base-cased","390","1","","0.6570397111913358","13","1.145352554321289","0.06316108581347343"
"sweep_12a_02_modded/run_015","180","-","gen_12","0.02","0.15","0.000005","780","bert-base-cased","156","1","","0.6353790613718412","10","1.0465568542480468","0.2562706287090595"
"sweep_12a_02_modded/run_004","159","-","gen_12","0","0.1","0.00001","1950","bert-base-cased","390","1","","0.631768953068592","10","1.3108650207519532","0.08679886964651254"
"sweep_12a_02_modded/run_007","156","-","gen_12","0.02","0.1","0.000005","1950","bert-base-cased","390","1","","0.6137184115523465","9","1.1099563598632811","0.17218913787450546"
"sweep_12a_02_modded/run_003","148","-","gen_12","0","0.1","0.000005","1950","bert-base-cased","390","1","","0.6425992779783394","9","0.9704484939575196","0.22094112787491235"
"sweep_12a_02_modded/run_018","355","-","gen_12","0.02","0.15","0.000005","1950","bert-base-cased","390","1","","0.6498194945848376","21","1.375887393951416","0.11500857426570012"
"sweep_12a_02_modded/run_015","226","-","gen_12","0.02","0.15","0.000005","1950","bert-base-cased","390","1","","0.6137184115523465","13","1.203879165649414","0.2640231205866887"
"sweep_12a_02_modded/run_002","264","-","gen_12","0","0.1","0.00001","1950","bert-base-cased","390","1","","0.6353790613718412","17","1.7064563751220705","0.03975918965461927"
"sweep_12a_02_modded/run_006","189","-","gen_12","0.02","0.1","0.000005","780","bert-base-cased","156","1","","0.6389891696750902","12","1.1471951484680176","0.08286764071537898"
"sweep_12a_02_modded/run_016","276","-","gen_12","0.02","0.15","0.00001","1950","bert-base-cased","390","1","","0.628158844765343","16","1.501043701171875","0.10935445932241586"
"sweep_12a_02_modded/run_018","211","-","gen_12","0.02","0.15","0.00001","1950","bert-base-cased","390","1","","0.6498194945848376","12","1.3412439346313476","0.1329495478899051"
"sweep_12a_02_modded/run_010","232","-","gen_12","0.02","0.1","0.00001","1950","bert-base-cased","390","1","","0.6498194945848376","14","1.2980099678039552","0.09841455557407476"
"sweep_12a_02_modded/run_013","299","-","gen_12","0","0.15","0.00001","1950","bert-base-cased","390","1","","0.6534296028880866","18","1.3601766586303712","0.1257907794072078"
"sweep_12a_02_modded/run_004","280","-","gen_12","0","0.1","0.000005","780","bert-base-cased","156","1","","0.6498194945848376","18","1.1728209495544433","0.04268849507356302"
"sweep_12a_02_modded/run_006","131","-","gen_12","0.02","0.1","0.00001","1950","bert-base-cased","390","1","","0.6425992779783394","8","1.103977584838867","0.16480294252053285"
"sweep_12a_02_modded/run_010","188","-","gen_12","0","0.15","0.00001","1950","bert-base-cased","390","1","","0.6462093862815884","11","1.258224868774414","0.2385832713200496"
"sweep_12a_02_modded/run_014","211","-","gen_12","0.02","0.15","0.00001","1950","bert-base-cased","390","1","","0.6425992779783394","12","1.3151063919067385","0.30718424381353915"
"sweep_12a_02_modded/run_016","193","-","gen_12","0.02","0.15","0.000005","1950","bert-base-cased","390","1","","0.6245487364620939","11","1.129060173034668","0.16618954829680613"
"sweep_12a_02_modded/run_012","204","-","gen_12","0","0.15","0.000005","780","bert-base-cased","156","1","","0.6389891696750902","12","1.0462550163269042","0.1131297747294108"
"sweep_12a_02_modded/run_008","306","-","gen_12","0.02","0.1","0.00001","1950","bert-base-cased","390","1","","0.6389891696750902","19","1.6701013565063476","0.018070156757648177"
"sweep_12a_02_modded/run_009","162","-","gen_12","0.02","0.1","0.000005","780","bert-base-cased","156","1","","0.6425992779783394","10","0.9778020858764648","0.07741902424738957"
"sweep_12a_02_modded/run_009","185","-","gen_12","0","0.15","0.000005","780","bert-base-cased","156","1","","0.6209386281588448","11","1.0527854919433597","0.2831260974590595"
"sweep_12a_02_modded/run_006","253","-","gen_12","0.02","0.1","0.00001","780","bert-base-cased","156","1","","0.6245487364620939","16","1.5413683891296386","0.02269521890542446"
"sweep_12a_02_modded/run_014","326","-","gen_12","0.02","0.15","0.00001","780","bert-base-cased","156","1","","0.6498194945848376","19","1.6076087951660156","0.048475748453384794"
"sweep_12a_02_modded/run_012","324","-","gen_12","0.02","0.15","0.00001","780","bert-base-cased","156","1","","0.628158844765343","19","1.8974281311035155","0.2014240118173453"
"sweep_12a_02_modded/run_000","207","-","gen_12","0","0.1","0.00001","780","bert-base-cased","156","1","","0.6353790613718412","14","1.4799041748046875","0.048011474120311246"
"sweep_12a_02_modded/run_013","314","-","gen_12","0","0.15","0.000005","780","bert-base-cased","156","1","","0.6353790613718412","19","1.191342544555664","0.10467753043541542"
"sweep_12a_02_modded/run_005","236","-","gen_12","0","0.1","0.000005","780","bert-base-cased","156","1","","0.6353790613718412","15","1.102703857421875","0.07352457902370355"
"sweep_12a_02_modded/run_017","195","-","gen_12","0.02","0.15","0.000005","780","bert-base-cased","156","1","","0.6353790613718412","11","1.056954860687256","0.15696470554058367"
"sweep_12a_02_modded/run_014","211","-","gen_12","0.02","0.15","0.000005","780","bert-base-cased","156","1","","0.6137184115523465","12","1.200810432434082","0.17083091002244216"
"sweep_12a_01_modded/run_45","279","-","gen_12","0.02","0.15","0.000005","2680","bert-base-cased","536","1","","","17","0.9465006660012638","0.1949838524434104"
"sweep_12a_01_modded/run_30","219","-","gen_12","0.02","0.15","0.00001","6700","bert-base-cased","1340","1","","","13","1.1052799224853516","0.18961396857873716"
"sweep_12a_03_modded/run_17","275","-","gen_12","0.02","0.15","0.000005","4500","bert-base-cased","900","1","","","12","0.5993393659591675","0.5983111487494575"
"sweep_12a_03_modded/run_12","254","-","gen_12","0","0.15","0.000005","1800","bert-base-cased","360","1","","","11","0.6698790391286215","0.7720863342285156"
"sweep_12a_03_modded/run_02","186","-","gen_12","0","0.1","0.00001","1800","bert-base-cased","360","1","","","8","0.5466744899749756","0.26925777859157984"
"sweep_12a_01_modded/run_28","144","-","gen_12","0.02","0.15","0.00001","2680","bert-base-cased","536","1","","","8","0.9121075237498564","0.18256587412819933"
