"Name","State","Notes","User","Tags","Created","Runtime","Sweep","beta1","beta2","catch_dropout","early_stopping_min_delta","early_stopping_patience","gradient_accumulation_steps","ignore_mismatched_sizes","insert_dropout","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","evaluation_steps","accuracy","accuracy.max","avg_eval_p_max","avg_eval_p_var","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss","eval_loss.min","f1","matthews_correlation","pearson","spearmanr","train_loss","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","eval_p_max","eval_p_var","train_p_max","train_p_var"
"run_07_058_vanilla","finished","-","ricu","gen_07","2023-08-26T06:29:12.000Z","3835","","0.9","0.999","-1","0","10","1","false","0.15","0.000001","linear","128","128","bert-large-uncased","128","50","","/home/lange/fantastic-umbrella/runs/run_07_058_vanilla","false","","8","32","false","all","","0","rte","","32","false","false","","0","true","","0.5042047531992687","","","","","","","","","","","","","","","","","","","","","","","","127","0.7287738197728207","","","","","","0.6694599390029907","","","","","","",""
"run_07_031_vanilla","finished","-","ricu","gen_07","2023-08-25T18:42:48.000Z","625","","0.9","0.999","-1","0","10","1","false","0.15","5e-7","linear","128","9984","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_031_vanilla","false","","8","32","false","all","","0","rte","","1","false","false","","0","true","","0.6064981949458483","","","","","","","","","","","","","","","","","","","","","","","","26","0.6631311689104352","","","","","","0.5686937478872446","","","","","","",""
"run_07_114_modded","finished","-","ricu","gen_07","2023-08-28T16:27:02.000Z","1206","","0.9","0.999","0","0","10","1","false","0.2","0.000001","linear","128","128","bert-base-cased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_114_modded","false","","8","32","false","all","","0","rte","","32","true","false","","0","true","","0.4840950639853748","","","","","","","","","","","","","","","","","","","","","","","","127","0.7186352913839775","","","","","","0.6091796159744263","","","","","","",""
"run_07_069_vanilla","finished","-","ricu","gen_07","2023-08-26T17:28:33.000Z","4322","","0.9","0.999","-1","0","10","1","false","0.1","5e-7","linear","128","4992","bert-large-uncased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_069_vanilla","false","","8","32","false","all","","0","rte","","0.5","false","false","","0","true","","0.6235216819973719","","","","","","","","","","","","","","","","","","","","","","","","63","0.6519169432954638","","","","","","0.43558135399451625","","","","","","",""
"run_07_169_modded","finished","-","ricu","gen_07","2023-08-29T12:12:36.000Z","986","","0.9","0.999","0.05","0","10","1","false","0.1","2e-7","linear","128","128","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_169_modded","false","","8","32","false","all","","0","rte","","2","true","false","","0","true","","0.48318264014466544","","","","","","","","","","","","","","","","","","","","","","","","127","0.7337950778145321","","","","","","0.6710572838783264","","","","","","",""
"run_07_171_modded","finished","-","ricu","gen_07","2023-08-29T12:45:39.000Z","970","","0.9","0.999","0.05","0","10","1","false","0.1","2e-7","linear","128","128","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_171_modded","false","","8","32","false","all","","0","rte","","32","true","false","","0","true","","0.48336380255941497","","","","","","","","","","","","","","","","","","","","","","","","127","0.733798423008612","","","","","","0.6821330189704895","","","","","","",""
"run_07_213_modded","finished","-","ricu","gen_07","2023-08-30T18:07:09.000Z","3743","","0.9","0.999","0","0","10","1","false","0.2","0.000001","linear","128","4992","bert-large-uncased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_213_modded","false","","8","32","false","all","","0","rte","","0.5","true","false","","0","true","","0.6307490144546649","","","","","","","","","","","","","","","","","","","","","","","","49","0.6571290180945272","","","","","","0.61840086716872","","","","","","",""
"run_07_168_modded","finished","-","ricu","gen_07","2023-08-29T11:55:55.000Z","988","","0.9","0.999","0.05","0","10","1","false","0.1","2e-7","linear","128","128","bert-base-cased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_168_modded","false","","8","32","false","all","","0","rte","","2","true","false","","0","true","","0.4835443037974684","","","","","","","","","","","","","","","","","","","","","","","","127","0.729559573134935","","","","","","0.5939875245094299","","","","","","",""
"run_07_130_modded","finished","-","ricu","gen_07","2023-08-28T21:18:08.000Z","1158","","0.9","0.999","0","0","10","1","false","0.1","5e-7","linear","128","128","bert-base-cased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_130_modded","false","","8","32","false","all","","0","rte","","32","true","false","","0","true","","0.4840950639853748","","","","","","","","","","","","","","","","","","","","","","","","127","0.7253196225528828","","","","","","0.6382195949554443","","","","","","",""
"run_07_278_modded","finished","-","ricu","gen_07","2023-09-03T21:01:54.000Z","16882","","0.9","0.999","0","0","10","1","false","0.2","2e-7","linear","128","9984","bert-large-uncased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_278_modded","false","","8","32","false","all","","0","rte","","1","true","false","","0","true","","0.6209386281588448","","","","","","","","","","","","","","","","","","","","","","","","127","0.669041987827846","","","","","","0.6713333129882812","","","","","","",""
"run_07_258_modded","finished","-","ricu","gen_07","2023-09-01T23:17:50.000Z","3446","","0.9","0.999","0","0","10","1","false","0.1","2e-7","linear","128","128","bert-large-uncased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_258_modded","false","","8","32","false","all","","0","rte","","32","true","false","","0","true","","0.5042047531992687","","","","","","","","","","","","","","","","","","","","","","","","127","0.7495769478424251","","","","","","0.6978961229324341","","","","","","",""
"run_07_273_modded","finished","-","ricu","gen_07","2023-09-03T11:47:48.000Z","4081","","0.9","0.999","0","0","10","1","false","0.2","2e-7","linear","128","128","bert-large-uncased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_273_modded","false","","8","32","false","all","","0","rte","","2","true","false","","0","true","","0.5041591320072333","","","","","","","","","","","","","","","","","","","","","","","","127","0.7560399226370574","","","","","","0.6778162121772766","","","","","","",""
"run_07_177_modded","finished","-","ricu","gen_07","2023-08-29T15:38:26.000Z","999","","0.9","0.999","0","0","10","1","false","0.2","2e-7","linear","128","128","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_177_modded","false","","8","32","false","all","","0","rte","","2","true","false","","0","true","","0.48318264014466544","","","","","","","","","","","","","","","","","","","","","","","","127","0.7339109740505328","","","","","","0.6526209115982056","","","","","","",""
"run_07_247_modded","finished","-","ricu","gen_07","2023-09-01T07:47:30.000Z","6886","","0.9","0.999","0","0","10","1","false","0.2","5e-7","linear","128","9984","bert-large-uncased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_247_modded","false","","8","32","false","all","","0","rte","","1","true","false","","0","true","","0.631768953068592","","","","","","","","","","","","","","","","","","","","","","","","54","0.6514627729143415","","","","","","0.6581762264936398","","","","","","",""
"run_07_192_modded","finished","-","ricu","gen_07","2023-08-30T02:09:48.000Z","1391","","0.9","0.999","0","0","10","1","false","0.1","0.000001","linear","128","128","bert-large-uncased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_192_modded","false","","8","32","false","all","","0","rte","","2","true","false","","0","true","","0.5041591320072333","","","","","","","","","","","","","","","","","","","","","","","","46","0.7559858553671424","","","","","","0.70561683177948","","","","","","",""
"run_07_127_modded","finished","-","ricu","gen_07","2023-08-28T20:22:00.000Z","1187","","0.9","0.999","0.05","0","10","1","false","0.2","0.000001","linear","128","9984","bert-base-cased","128","500","","/home/lange/fantastic-umbrella/runs/run_07_127_modded","false","","8","32","false","all","","0","rte","","1","true","false","","0","true","","0.6570397111913358","","","","","","","","","","","","","","","","","","","","","","","","24","0.6531671251569475","","","","","","0.5863724733010317","","","","","","",""
"run_07_188_modded","finished","-","ricu","gen_07","2023-08-29T21:50:33.000Z","3226","","0.9","0.999","0.05","0","10","1","false","0.2","2e-7","linear","128","4992","bert-base-cased","128","100","","/home/lange/fantastic-umbrella/runs/run_07_188_modded","false","","8","32","false","all","","0","rte","","0.5","true","false","","0","true","","0.5795006570302234","","","","","","","","","","","","","","","","","","","","","","","","127","0.6779533506063891","","","","","","0.6614160293187851","","","","","","",""
"run_07_038_vanilla","finished","-","ricu","gen_07","2023-08-25T20:44:56.000Z","1164","","0.9","0.999","-1","0","10","1","false","0.1","2e-7","linear","128","9984","bert-base-cased","128","50","","/home/lange/fantastic-umbrella/runs/run_07_038_vanilla","false","","8","32","false","all","","0","rte","","1","false","false","","0","true","","0.6137184115523465","","","","","","","","","","","","","","","","","","","","","","","","49","0.661577388218471","","","","","","0.5949605795053335","","","","","","",""
"run_07_024_vanilla","finished","-","ricu","gen_07","2023-08-25T17:09:34.000Z","708","","0.9","0.999","-1","0","10","1","false","0.15","5e-7","linear","128","128","bert-base-cased","128","50","","/home/lange/fantastic-umbrella/runs/run_07_024_vanilla","false","","8","32","false","all","","0","rte","","2","false","false","","0","true","","0.48318264014466544","","","","","","","","","","","","","","","","","","","","","","","","90","0.7268887558424404","","","","","","0.4312523901462555","","","","","","",""
