"Name","Runtime","Notes","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","catch_dropout","insert_dropout","learning_rate","max_train_steps","model_name_or_path","num_warmup_steps","training_size","use_modded","beta1","beta2","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","lr_scheduler_type","max_length","num_train_epochs","original_gradient_fraction","output_dir","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task_name","train_data_frac","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","epoch","eval_loss","train_loss","accuracy.max","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_p_max","eval_p_var","f1","matthews_correlation","pearson","spearmanr","train_p_max","train_p_var"
"sweep_12a_02_modded/run_004","251","-","gen_12","xldgbukf","finished","ricu","","","2023-10-21T10:09:34.000Z","2023-10-21T10:13:45.000Z","2023-10-21T10:13:45.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.00001","780","bert-base-cased","156","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_004","false","pcid_0032","32","32","false","all","12a","5","rte","","false","0.1","0.01","true","0.6498194945848376","16","1.2343666076660156","0.047584289159530245","","0.9431657791137696","0.41597118973731995","","","","0.98650860786438","0.4758374094963074","0.6823104693140795","11","468","0.6563157081604004","1","78","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_013","193","-","gen_12","g59wm1it","finished","ricu","","","2023-10-21T14:11:13.000Z","2023-10-21T14:14:26.000Z","2023-10-21T14:14:26.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.00001","780","bert-base-cased","156","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_013","false","pcid_0044","32","32","false","all","12a","2","rte","","false","0.1","0.01","true","0.6534296028880866","11","1.258734130859375","0.08277128904293744","","0.9470025897026062","0.41761264204978943","","","","0.9690180420875548","0.4488056004047394","0.6823104693140795","6","273","0.665555763244629","2","117","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_015","207","-","gen_12","e74416zq","finished","ricu","","","2023-10-21T14:01:42.000Z","2023-10-21T14:05:09.000Z","2023-10-21T14:05:09.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.000005","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_015","false","pcid_0043","32","32","false","all","12a","5","rte","","false","0.1","0.01","true","0.6498194945848376","12","1.1821617126464845","0.1588158240685096","","0.9361438155174256","0.3938582241535187","","","","0.9494051933288574","0.4129379093647003","0.6787003610108303","7","312","0.6408992767333984","4","195","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_019","290","-","gen_12","vclzf1ld","finished","ricu","","","2023-10-21T15:29:19.000Z","2023-10-21T15:34:09.000Z","2023-10-21T15:34:09.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.000005","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_019","false","pcid_0047","32","32","false","all","12a","5","rte","","false","0.1","0.01","true","0.6534296028880866","17","1.2881130218505858","0.0836792053320469","","0.9414271712303162","0.4066881835460663","","","","0.970860242843628","0.449451744556427","0.6787003610108303","12","507","0.642713212966919","4","195","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_012","201","-","gen_12","19r3zhwf","finished","ricu","","","2023-10-21T13:26:45.000Z","2023-10-21T13:30:06.000Z","2023-10-21T13:30:06.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.00001","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_012","false","pcid_0042","32","32","false","all","12a","3","rte","","false","0.1","0.01","true","0.6245487364620939","12","1.291457748413086","0.35670984708345854","","0.9432530403137208","0.4143265187740326","","","","0.9572094082832336","0.4318903088569641","0.6787003610108303","7","312","0.6300363063812255","3","156","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_015","179","-","gen_12","bo9cykvh","finished","ricu","","","2023-10-21T14:52:45.000Z","2023-10-21T14:55:44.000Z","2023-10-21T14:55:44.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.00001","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_015","false","pcid_0046","32","32","false","all","12a","2","rte","","false","0.1","0.01","true","0.6353790613718412","10","1.2939083099365234","0.15230749814938277","","0.944955348968506","0.4125109612941742","","","","0.9540838003158568","0.4236883521080017","0.6787003610108303","5","234","0.6430351257324218","3","156","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_016","210","-","gen_12","x2lkz9nl","finished","ricu","","","2023-10-21T14:26:16.000Z","2023-10-21T14:29:46.000Z","2023-10-21T14:29:46.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.00001","780","bert-base-cased","156","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_016","false","pcid_0044","32","32","false","all","12a","5","rte","","false","0.1","0.01","true","0.6678700361010831","12","1.2701258659362793","0.12279800268319938","","0.9561067819595336","0.42954021692276","","","","0.9712482690811156","0.4487231373786926","0.6787003610108303","7","312","0.6565732002258301","1","78","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_013","288","-","gen_12","a17bhhzp","finished","ricu","","","2023-10-21T13:52:46.000Z","2023-10-21T13:57:34.000Z","2023-10-21T13:57:34.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.000005","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_013","false","pcid_0043","32","32","false","all","12a","3","rte","","false","0.1","0.01","true","0.6425992779783394","17","1.3410774230957032","0.1856089249635354","","0.942521870136261","0.4140443801879883","","","","0.955024242401123","0.4300074577331543","0.6750902527075813","12","507","0.6198895931243896","4","195","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_010","203","-","gen_12","wo4ar456","finished","ricu","","","2023-10-21T13:00:02.000Z","2023-10-21T13:03:25.000Z","2023-10-21T13:03:25.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.000005","780","bert-base-cased","156","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_010","false","pcid_0041","32","32","false","all","12a","2","rte","","false","0.1","0.01","true","0.6606498194945848","12","1.0103400230407715","0.1752040080535106","","0.9064876437187196","0.35417842864990234","","","","0.9312829375267028","0.3877350986003876","0.6750902527075813","7","312","0.6484103679656983","3","156","","","","","","","","","","","","","","","","","","","","",""
"sweep_12a_02_modded/run_006","189","-","gen_12","om7dupxc","finished","ricu","","","2023-10-21T11:05:40.000Z","2023-10-21T11:08:49.000Z","2023-10-21T11:08:49.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.000005","1950","bert-base-cased","390","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_02_modded/run_006","false","pcid_0035","32","32","false","all","12a","4","rte","","false","0.1","0.01","true","0.6498194945848376","12","1.136369037628174","0.06195856363345415","","0.941562294960022","0.40926751494407654","","","","0.9786199927330016","0.4608863890171051","0.6750902527075813","7","312","0.6559103012084961","3","156","","","","","","","","","","","","","","","","","","","","",""
