"Name","Runtime","Notes","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","catch_dropout","early_stopping_patience","insert_dropout","learning_rate","max_train_steps","num_train_epochs","num_warmup_steps","output_dir","dataset_seed","beta1","beta2","early_stopping_min_delta","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","lr_scheduler_type","max_length","model_name_or_path","original_gradient_fraction","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","train_loss","train_p_max","train_p_var"
"18_SWP7_ID_222_VAN","195","-","SWP7, vanilla","qjr20y6d","finished","ricu","","","2023-12-27T09:02:15.000Z","2023-12-27T09:05:30.000Z","2023-12-27T09:05:30.000Z","","drax","","","","2","NVIDIA A40","","25","0.28","0.00002","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_222","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1000","128","32","false","all","18_sweeps","1","","cola","","64","","false","0.1","0.01","true","","","","","","","0.6140343546867371","15","32","143","1.5554344654083252","0.9850722551345824","0.4762341678142547","","","0.006583275273442268","0.9934500455856324","","","","","","","","","","","0.13780546207299862","93","188","","","","","","","","","","","","0.1201754067624479","","","","",""
"18_SWP7_ID_221_VAN","101","-","SWP7, vanilla","8ekkj3be","finished","ricu","","","2023-12-27T09:00:20.000Z","2023-12-27T09:02:01.000Z","2023-12-27T09:02:01.000Z","","drax","","","","2","NVIDIA A40","","25","0.28","0.00004","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_221","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0999","128","32","false","all","18_sweeps","3","","cola","","64","","false","0.1","0.01","true","","","","","","","0.6145949363708496","11","24","69","1.9723923206329343","0.9466641545295716","0.4207315444946289","","","0.0030512402299791574","0.9969550967216492","","","","","","","","","","","0","19","40","","","","","","","","","","","","-0.05010264965361935","","","","",""
"18_SWP7_ID_220_VAN","143","-","SWP7, vanilla","md8pvw80","finished","ricu","","","2023-12-27T08:57:44.000Z","2023-12-27T09:00:07.000Z","2023-12-27T09:00:07.000Z","","drax","","","","2","NVIDIA A40","","25","0.28","0.00004","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_220","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0999","128","32","false","all","18_sweeps","2","","cola","","64","","false","0.1","0.01","true","","","","","","","0.6226333975791931","9","20","103","1.763469934463501","0.9747897982597352","0.4611321091651917","","","0.019494321197271347","0.9953909516334534","","","","","","","","","","","0.1020326367168705","53","108","","","","","","","","","","","","0.0154778734981625","","","","",""
"18_SWP8_ID_174_MOD","318","-","SWP8, modded","s88uzjjh","finished","ricu","","","2023-12-27T08:56:51.000Z","2023-12-27T09:02:09.000Z","2023-12-27T09:02:09.000Z","","drax","","","","2","NVIDIA A40","0","25","0.2","0.000008","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_174","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1074","128","32","false","all","18_sweeps","1","","mrpc","","64","","false","0.1","0.01","true","0.6468095712861416","0.0005345023237168789","{""_type"":""histogram"",""values"":[71,58,54,54,66,56,51,60,37,43,33,28,31,19,22,19,15,12,9,3,10,7,0,4,1,1,0,2,0,1,0,1],""bins"":[9.73473902377009e-7,0.00007197068771347404,0.00014296791050583124,0.00021396511874627322,0.0002849623269867152,0.0003559595497790724,0.0004269567725714296,0.0004979539662599564,0.0005689511890523136,0.0006399484118446708,0.000710945634637028,0.0007819428574293852,0.0008529400802217424,0.0009239372448064387,0.0009949344675987959,0.001065931748598814,0.0011369289131835103,0.0012079260777682066,0.0012789233587682247,0.001349920523352921,0.0014209178043529391,0.0014919149689376354,0.0015629122499376535,0.0016339094145223498,0.001704906695522368,0.0017759038601070642,0.0018469010246917605,0.0019178983056917787,0.001988895470276475,0.002059892751276493,0.002130890032276511,0.0022018870804458857,0.0022728843614459038]}","0.6777168494516451","31","64","0.622456431388855","31","64","81","0.8558310270309448","0.8329113721847534","0.27099815011024475","0.08898956328630447","0.9193077087402344","0.09538501501083374","0.9134485125541688","","","","","","","","0.8063794902369951","29","60","","","","","","","","","","","","","","0.7502203419707385","","","","","",""
"18_SWP7_ID_219_VAN","205","-","SWP7, vanilla","32jjgivg","finished","ricu","","","2023-12-27T08:54:05.000Z","2023-12-27T08:57:30.000Z","2023-12-27T08:57:30.000Z","","drax","","","","2","NVIDIA A40","","25","0.28","0.00004","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_219","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0999","128","32","false","all","18_sweeps","1","","cola","","64","","false","0.1","0.01","true","","","","","","","0.613285481929779","11","24","149","1.8745306730270384","0.9842119216918944","0.4749999046325683","","","0.0027941521257162094","0.997246265411377","","","","","","","","","","","0.11447951817455292","99","200","","","","","","","","","","","","0.07036677539765","","","","",""
"18_SWP7_ID_218_VAN","146","-","SWP7, vanilla","jrd61lxf","finished","ricu","","","2023-12-27T08:51:26.000Z","2023-12-27T08:53:52.000Z","2023-12-27T08:53:52.000Z","","drax","","","","2","NVIDIA A40","","25","0.28","0.00004","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_218","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0998","128","32","false","all","18_sweeps","3","","cola","","64","","false","0.1","0.01","true","","","","","","","0.6063479781150818","21","44","105","1.81695020198822","0.9680871963500975","0.4520627558231354","","","0.002890794537961483","0.9971163272857666","","","","","","","","","","","0.12376589645286376","55","112","","","","","","","","","","","","0.09318792944947922","","","","",""
"18_SWP8_ID_173_MOD","398","-","SWP8, modded","i3kha375","finished","ricu","","","2023-12-27T08:50:00.000Z","2023-12-27T08:56:38.000Z","2023-12-27T08:56:38.000Z","","drax","","","","2","NVIDIA A40","0","25","0.2","0.00001","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_173","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1073","128","32","false","all","18_sweeps","3","","mrpc","","64","","false","0.1","0.01","true","0.6832003988035892","0.0001726660702843219","{""values"":[62,62,62,44,73,57,49,40,40,38,30,33,33,25,21,17,15,13,8,8,12,9,5,2,4,0,1,3,0,0,1,1],""_type"":""histogram"",""bins"":[6.716688858432462e-7,0.000022487698515760712,0.0000443037279183045,0.00006611975550185889,0.00008793578308541328,0.00010975181066896766,0.00013156783825252205,0.00015338386583607644,0.00017519990797154605,0.00019701593555510044,0.00021883196313865483,0.00024064799072220922,0.0002624640183057636,0.000284280045889318,0.0003060960734728724,0.00032791210105642676,0.00034972812863998115,0.00037154415622353554,0.0003933601838070899,0.0004151762113906443,0.0004369922389741987,0.0004588082665577531,0.0004806242941413075,0.0005024403217248619,0.0005242563784122467,0.0005460723768919706,0.0005678884335793555,0.0005897044320590794,0.0006115204887464643,0.0006333364872261882,0.000655152543913573,0.000676968542393297,0.0006987845990806818]}","0.6846959122632104","51","104","0.6055076718330383","27","56","101","1.155339002609253","0.9683728218078612","0.44367730617523193","0.017539549618959427","0.9826181530952454","0.023201633244752884","0.9771206378936768","","","","","","","","0.8097458264400662","51","104","","","","","","","","","","","","","","0.8094738420026982","","","","","",""
"18_SWP7_ID_217_VAN","115","-","SWP7, vanilla","6nyfq4os","finished","ricu","","","2023-12-27T08:49:18.000Z","2023-12-27T08:51:13.000Z","2023-12-27T08:51:13.000Z","","drax","","","","2","NVIDIA A40","","25","0.28","0.00004","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_217","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0998","128","32","false","all","18_sweeps","2","","cola","","64","","false","0.1","0.01","true","","","","","","","0.6082074642181396","19","40","81","1.5258830785751345","0.974789559841156","0.4606966972351074","","","0.03610995039343834","0.996563196182251","","","","","","","","","","","0.16649806063269065","31","64","","","","","","","","","","","","0.1246553538592862","","","","",""
"18_SWP7_ID_216_VAN","201","-","SWP7, vanilla","xd4lbfmw","finished","ricu","","","2023-12-27T08:45:43.000Z","2023-12-27T08:49:04.000Z","2023-12-27T08:49:04.000Z","","drax","","","","2","NVIDIA A40","","25","0.28","0.00004","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_216","1","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_0998","128","32","false","all","18_sweeps","1","","cola","","64","","false","0.1","0.01","true","","","","","","","0.6127402186393738","11","24","147","1.934316635131836","0.9933169484138488","0.48936519026756287","","","0.0017348489491268992","0.998267650604248","","","","","","","","","","","0.13756642699413985","97","196","","","","","","","","","","","","0.12009912574476928","","","","",""
"18_SWP8_ID_172_MOD","290","-","SWP8, modded","mw8kqh0k","finished","ricu","","","2023-12-27T08:44:56.000Z","2023-12-27T08:49:46.000Z","2023-12-27T08:49:46.000Z","","drax","","","","2","NVIDIA A40","0","25","0.2","0.00001","400","200","40","/home/lange/fantastic-umbrella/runs/18_sweeps_08_modded/run_172","2","0.9","0.999","0","4","1","false","linear","128","bert-base-uncased","0","false","pcid_1073","128","32","false","all","18_sweeps","2","","mrpc","","64","","false","0.1","0.01","true","0.6560319042871385","0.0001153603952843696","{""_type"":""histogram"",""bins"":[4.163517886013324e-8,0.000014849834769847803,0.000029658034691237845,0.00004446623279363848,0.000059274432715028524,0.00007408262899843976,0.00008889083255780861,0.00010369902884121984,0.00011850723240058869,0.00013331543595995754,0.00014812362496741116,0.00016293182852678,0.00017774003208614886,0.00019254822109360248,0.00020735642465297133,0.00022216462821234018,0.00023697283177170902,0.00025178102077916265,0.0002665892243385315,0.00028139742789790034,0.0002962056314572692,0.00031101383501663804,0.00032582200947217643,0.0003406302130315453,0.00035543841659091413,0.000370246620150283,0.00038505482370965183,0.0003998630272690207,0.0004146712308283895,0.0004294794052839279,0.00044428760884329677,0.0004590958124026656,0.00047390401596203446],""values"":[67,60,61,53,41,58,51,60,48,30,34,36,31,22,26,24,12,9,11,4,3,10,6,2,0,5,1,0,0,0,2,1]}","0.6754735792622134","23","48","0.6306105256080627","19","40","73","1.306029200553894","0.9533907175064088","0.4273320436477661","0.012319579720497131","0.9877647757530212","0.015337565913796425","0.9848029017448424","","","","","","","","0.8063076465337697","21","44","","","","","","","","","","","","","","0.7805343511450381","","","","","",""
