"Name","State","Notes","User","Tags","Created","Runtime","Sweep","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","insert_dropout","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss","eval_loss.min","eval_loss_mm","eval_p_max","eval_p_max_mm","eval_p_var","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","test_accuracy_best_accuracy","test_accuracy_best_eval_loss","test_accuracy_best_f1","test_f1_best_accuracy","test_f1_best_eval_loss","test_f1_best_f1","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","vector_norms"
"21_S13_ID_38_VAN","finished","-","ricu","SWP13, vanilla","2024-01-06T00:57:01.000Z","65","","0.9","0.999","","1","0","5","32","","false","0.1","0.00006","linear","128","768","bert-base-uncased","false","12","76","","/home/lange/fantastic-umbrella/runs/21_sweeps_14_vanilla/run_38","false","pcid_1675","128","32","","all","21_sweeps","3","","sst2","","2048","","","0.1","0.01","true","0.88037109375","","","","","","","","","","0.89599609375","2","160","0.31911370158195496","0","64","","","","","","","","","","","","","4","0.41806936264038086","","","0.9676207900047302","","0.4495043456554413","","","","","","","0.88134765625","0.8642578125","","","","","","","","","","0.04469788074493408","0.9900377988815308",""
"21_S6_ID_10_MOD","finished","-","ricu","SWP6, modded","2024-01-06T00:56:42.000Z","656","","0.9","0.999","0","2","0","80","2","","false","0.28","0.00001","linear","128","800","bert-base-uncased","false","800","80","","/home/lange/fantastic-umbrella/runs/21_sweeps_06_modded/run_10","false","pcid_1540","128","32","","all","21_sweeps","2","","qnli","","32","","","0.1","0.01","true","0.6591796875","","","","","0.00630665197968483","[0.006306654307991266,0.006306649651378393]","","","","0.68017578125","97","98","0.6299124956130981","91","92","","","","","","","","","","","","","257","0.863739550113678","","","0.855004072189331","","0.29088759422302246","","","","","","","0.6640625","0.6630859375","","","","","","","","0.010704971849918364","0.9893585443496704","0.014962881803512572","0.985174298286438","{""values"":[10,6,4,4,4,1,4,4,1,4,3,6,1,1,3,0,0,1,2,0,0,0,1,0,0,2,0,0,0,0,1,1],""_type"":""histogram"",""bins"":[0.00004151400935370475,0.0011229414958506823,0.0022043688222765923,0.003285796381533146,0.0043672239407896996,0.005448651500046253,0.0065300785936415195,0.007611506152898073,0.00869293324649334,0.009774360805749893,0.010855788365006447,0.011937215924263,0.013018643483519554,0.014100071042776108,0.015181498602032661,0.016262926161289215,0.01734435372054577,0.018425781279802322,0.019507208839058876,0.02058863639831543,0.021670063957571983,0.022751491516828537,0.02383291907608509,0.024914344772696495,0.02599577233195305,0.027077199891209602,0.028158627450466156,0.02924005500972271,0.030321482568979263,0.031402911990880966,0.03248433768749237,0.033565767109394073,0.03464719280600548]}"
"21_S13_ID_37_VAN","finished","-","ricu","SWP13, vanilla","2024-01-06T00:55:28.000Z","75","","0.9","0.999","","1","0","5","32","","false","0.1","0.00006","linear","128","768","bert-base-uncased","false","12","76","","/home/lange/fantastic-umbrella/runs/21_sweeps_14_vanilla/run_37","false","pcid_1675","128","32","","all","21_sweeps","2","","sst2","","2048","","","0.1","0.01","true","0.8935546875","","","","","","","","","","0.8974609375","2","192","0.3016715943813324","1","128","","","","","","","","","","","","","5","0.39669010043144226","","","0.972393035888672","","0.4580744802951813","","","","","","","0.8779296875","0.87451171875","","","","","","","","","","0.01733483374118805","0.9918359518051147",""
"21_S13_ID_36_VAN","finished","-","ricu","SWP13, vanilla","2024-01-06T00:53:45.000Z","85","","0.9","0.999","","1","0","5","32","","false","0.1","0.00006","linear","128","768","bert-base-uncased","false","12","76","","/home/lange/fantastic-umbrella/runs/21_sweeps_14_vanilla/run_36","false","pcid_1675","128","32","","all","21_sweeps","1","","sst2","","2048","","","0.1","0.01","true","0.890625","","","","","","","","","","0.89990234375","4","288","0.2715895473957062","1","128","","","","","","","","","","","","","6","0.4854394495487213","","","0.981295645236969","","0.4722042977809906","","","","","","","0.88037109375","0.86865234375","","","","","","","","","","0.015446421690285206","0.9952533841133118",""
"21_S13_ID_35_VAN","finished","-","ricu","SWP13, vanilla","2024-01-06T00:51:49.000Z","99","","0.9","0.999","","3","0","5","32","","false","0.12","0.00006","linear","128","768","bert-base-uncased","false","12","76","","/home/lange/fantastic-umbrella/runs/21_sweeps_14_vanilla/run_35","false","pcid_1674","128","32","","all","21_sweeps","3","","qqp","","2048","","","0.1","0.01","true","0.76953125","","","","","","","","","","0.77880859375","1","128","0.4449172914028168","1","128","0.7439231204070096","1","128","","","","","","","","","","4","0.683920681476593","","","0.9222218990325928","","0.3836435079574585","","0.6989795918367346","","","","","0.7744140625","0.7744140625","0.7744140625","0.7360000000000001","0.7360000000000001","0.7360000000000001","","","","","","0.08184836059808731","0.9580047726631165",""
"21_S13_ID_34_VAN","finished","-","ricu","SWP13, vanilla","2024-01-06T00:47:32.000Z","208","","0.9","0.999","","3","0","5","32","","false","0.12","0.00006","linear","128","768","bert-base-uncased","false","12","76","","/home/lange/fantastic-umbrella/runs/21_sweeps_14_vanilla/run_34","false","pcid_1674","128","32","","all","21_sweeps","2","","qqp","","2048","","","0.1","0.01","true","0.77490234375","","","","","","","","","","0.78564453125","8","576","0.48104187846183777","1","96","0.7283441367118444","3","224","","","","","","","","","","11","1.0580486059188845","","","0.9663850665092468","","0.4506279230117798","","0.7221217600964437","","","","","0.78662109375","0.732421875","0.77685546875","0.7126890203813282","0.6917885264341957","0.7274895646988669","","","","","","0.0011337532196193931","0.998871922492981",""
"21_S13_ID_33_VAN","finished","-","ricu","SWP13, vanilla","2024-01-06T00:44:16.000Z","145","","0.9","0.999","","3","0","5","32","","false","0.12","0.00006","linear","128","768","bert-base-uncased","false","12","76","","/home/lange/fantastic-umbrella/runs/21_sweeps_14_vanilla/run_33","false","pcid_1674","128","32","","all","21_sweeps","1","","qqp","","2048","","","0.1","0.01","true","0.76123046875","","","","","","","","","","0.775390625","5","352","0.4678705036640167","1","96","0.7177739920499717","2","192","","","","","","","","","","7","1.0255961418151855","","","0.9568419456481934","","0.4364015758037567","","0.6914826498422713","","","","","0.78271484375","0.76806640625","0.7763671875","0.7047113470471135","0.6766507828454732","0.7412429378531072","","","","","","0.023022878915071487","0.9918484687805176",""
"21_S13_ID_32_VAN","finished","-","ricu","SWP13, vanilla","2024-01-06T00:41:51.000Z","93","","0.9","0.999","","3","0","5","32","","false","0.1","0.00006","linear","128","768","bert-base-uncased","false","12","76","","/home/lange/fantastic-umbrella/runs/21_sweeps_14_vanilla/run_32","false","pcid_1673","128","32","","all","21_sweeps","3","","qqp","","2048","","","0.1","0.01","true","0.77099609375","","","","","","","","","","0.77880859375","1","128","0.43854397535324097","1","128","0.734932709186659","1","128","","","","","","","","","","4","0.7049980759620667","","","0.9301100969314576","","0.3938358724117279","","0.7124463519313305","","","","","0.77392578125","0.77392578125","0.77392578125","0.7319050376375218","0.7319050376375218","0.7319050376375218","","","","","","0.06143886595964432","0.9672452211380004",""
"21_S13_ID_31_VAN","finished","-","ricu","SWP13, vanilla","2024-01-06T00:38:24.000Z","158","","0.9","0.999","","3","0","5","32","","false","0.1","0.00006","linear","128","768","bert-base-uncased","false","12","76","","/home/lange/fantastic-umbrella/runs/21_sweeps_14_vanilla/run_31","false","pcid_1673","128","32","","all","21_sweeps","2","","qqp","","2048","","","0.1","0.01","true","0.767578125","","","","","","","","","","0.78271484375","5","384","0.4661600887775421","1","96","0.7314759928867812","2","192","","","","","","","","","","8","1.1188843250274658","","","0.9697129130363464","","0.4552931785583496","","0.7222870478413068","","","","","0.7734375","0.74658203125","0.783203125","0.7118012422360248","0.71716621253406","0.7357142857142857","","","","","","0.0065366788767278194","0.9974732995033264",""
"21_S13_ID_30_VAN","finished","-","ricu","SWP13, vanilla","2024-01-06T00:35:43.000Z","108","","0.9","0.999","","3","0","5","32","","false","0.1","0.00006","linear","128","768","bert-base-uncased","false","12","76","","/home/lange/fantastic-umbrella/runs/21_sweeps_14_vanilla/run_30","false","pcid_1673","128","32","","all","21_sweeps","1","","qqp","","2048","","","0.1","0.01","true","0.77490234375","","","","","","","","","","0.7900390625","2","160","0.44813698530197144","2","160","0.7223208999407932","2","192","","","","","","","","","","5","0.7785207629203796","","","0.9355326890945436","","0.4079354405403137","","0.6977049180327869","","","","","0.7900390625","0.7900390625","0.77880859375","0.7207792207792209","0.7207792207792209","0.7327433628318584","","","","","","0.06477932631969452","0.9736591577529908",""
