"Name","Runtime","Notes","State","Tags","ID","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","early_stopping_patience","evaluation_steps","learning_rate","max_train_steps","num_train_epochs","num_warmup_steps","output_dir","param_config_id","run_generation","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","gradient_accumulation_steps","ignore_mismatched_sizes","insert_dropout","lr_scheduler_type","max_length","model_name_or_path","original_gradient_fraction","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","train_loss","train_p_max","train_p_var"
"18_SWP0_ID_054_MOD","626","-","finished","SWP0, modded","m0u8wd5f","ricu","","","2023-12-23T08:10:20.000Z","2023-12-23T08:20:46.000Z","2023-12-23T08:20:46.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00001","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_00_modded/run_054","pcid_0674","18_sweeps","1","0.9","0.999","0","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.6728903532857404","0.00014180854486767205","{""bins"":[3.7226797644507315e-8,0.000019085538951912895,0.00003813385046669282,0.000057182161981472746,0.00007623047713423148,0.0000952787886490114,0.00011432710016379133,0.00013337541895452887,0.0001524237304693088,0.00017147204198408872,0.00019052035349886864,0.00020956866501364857,0.0002286169765284285,0.0002476652734912932,0.0002667135850060731,0.0002857619256246835,0.0003048102371394634,0.00032385854865424335,0.0003429068601690233,0.0003619551716838032,0.0003810034831985831,0.00040005179471336305,0.000419100106228143,0.0004381484177429229,0.00045719672925770283,0.00047624504077248275,0.0004952933522872627,0.0005143416346982121,0.0005333899753168225,0.000552438257727772,0.0005714865983463824,0.0005905348807573318,0.0006095832213759422],""values"":[68,59,57,67,59,56,48,53,48,32,39,35,22,19,23,18,19,8,9,5,6,8,1,4,0,1,1,1,0,1,0,1],""_type"":""histogram""}","0.6996155958264689","33","68","0.5955089330673218","33","68","83","0.8959612250328064","0.923199474811554","0.3732754588127136","0.025061430409550667","0.9752799272537231","0.0284346342086792","0.9720240235328674","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP1_ID_065_VAN","980","-","finished","SWP1, vanilla","g6bgxser","ricu","","","2023-12-23T07:54:49.000Z","2023-12-23T08:11:09.000Z","2023-12-23T08:11:09.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00004","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_01_vanilla/run_065","pcid_0712","18_sweeps","3","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.6174263225334066","","","0.6177924217462932","127","256","0.7177385091781616","13","28","177","2.105848550796509","0.9624153971672058","0.444417417049408","","","0.0004210393235553056","0.9995790719985962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP1_ID_064_VAN","1386","-","finished","SWP1, vanilla","y9zgmpml","ricu","","","2023-12-23T07:31:21.000Z","2023-12-23T07:54:27.000Z","2023-12-23T07:54:27.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00004","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_01_vanilla/run_064","pcid_0712","18_sweeps","2","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.7349441698700347","","","0.7376899139666849","199","400","0.6033150553703308","21","44","249","1.4722121953964231","0.9768592715263368","0.465442031621933","","","0.0005485289148055017","0.9994516372680664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP0_ID_053_MOD","2395","-","finished","SWP0, modded","ncbgi8n5","ricu","","","2023-12-23T07:30:03.000Z","2023-12-23T08:09:58.000Z","2023-12-23T08:09:58.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00002","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_00_modded/run_053","pcid_0673","18_sweeps","3","0.9","0.999","0","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.624565257184697","0.000011537567843333818","{""_type"":""histogram"",""bins"":[1.4436591477817728e-8,0.0000014721081242896616,0.0000029297798391780816,0.000004387451099319151,0.000005845122814207571,0.000007302794529095991,0.00000876046578923706,0.00001021813750412548,0.0000116758092190139,0.00001313348093390232,0.00001459115264879074,0.000016048823454184458,0.00001750649607856758,0.000018964166883961298,0.000020421837689355016,0.000021879510313738137,0.000023337181119131856,0.000024794853743514977,0.000026252524548908696,0.000027710197173291817,0.000029167867978685535,0.000030625538784079254,0.000032083211408462375,0.0000335408840328455,0.00003499855301924981,0.000036456225643632933,0.000037913898268016055,0.00003937156725442037,0.00004082923987880349,0.00004228691250318661,0.000043744585127569735,0.00004520225411397405,0.00004665992673835717],""values"":[57,63,65,42,66,63,50,41,45,38,30,33,27,28,20,17,14,13,10,11,10,8,4,3,3,2,1,2,0,1,0,1]}","0.6251144060040271","273","548","0.7248185276985168","17","36","323","1.628950595855713","0.9456163644790648","0.4199097752571106","0.0005379757494665682","0.9994621276855468","0.001050094375386834","0.9989506006240844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP1_ID_063_VAN","432","-","finished","SWP1, vanilla","yq5dnkud","ricu","","","2023-12-23T07:23:49.000Z","2023-12-23T07:31:01.000Z","2023-12-23T07:31:01.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00004","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_01_vanilla/run_063","pcid_0712","18_sweeps","1","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.7021782903166758","","","0.7116968698517299","25","52","0.5947591662406921","19","40","75","1.3513567447662354","0.9747130870819092","0.4593686759471894","","","0.002587122144177556","0.9974166750907898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP1_ID_062_VAN","1265","-","finished","SWP1, vanilla","6hqtv0dr","ricu","","","2023-12-23T07:02:24.000Z","2023-12-23T07:23:29.000Z","2023-12-23T07:23:29.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00006","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_01_vanilla/run_062","pcid_0711","18_sweeps","3","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.604429800475929","","","0.6051619989017024","177","356","0.7169705629348755","11","24","227","2.527366399765014","0.9697390794754028","0.45581772923469543","","","0.0001639255351619795","0.9998360872268676","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP0_ID_052_MOD","2530","-","finished","SWP0, modded","tajbcwdz","ricu","","","2023-12-23T06:47:32.000Z","2023-12-23T07:29:42.000Z","2023-12-23T07:29:42.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00002","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_00_modded/run_052","pcid_0673","18_sweeps","2","0.9","0.999","0","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.7320153761669412","0.0000069009615799586754","{""_type"":""histogram"",""bins"":[1.3454862113349009e-8,9.073302180695464e-7,0.0000018012054852079018,0.000002695080866033095,0.0000035889561331714503,0.000004482831627683481,0.000005376706667448161,0.000006270582161960192,0.000007164457656472223,0.000008058333150984254,0.000008952208190748934,0.000009846083230513614,0.000010739959179772995,0.000011633834219537675,0.000012527709259302355,0.000013421585208561737,0.000014315460248326417,0.000015209335288091097,0.00001610321123735048,0.00001699708627711516,0.00001789096131687984,0.00001878483635664452,0.0000196787113964092,0.000020572588255163282,0.000021466463294927962,0.000022360338334692642,0.000023254213374457322,0.000024148088414222002,0.000025041963453986682,0.000025935840312740766,0.000026829715352505445,0.000027723590392270125,0.000028617465432034805],""values"":[66,61,58,55,53,48,55,56,47,39,32,32,28,30,24,19,13,10,7,7,5,9,3,2,1,4,1,0,0,2,0,1]}","0.7323814753798279","291","584","0.6000986099243164","25","52","341","1.3412820100784302","0.9729316234588624","0.4589079022407532","0.0007169677410274744","0.9992833137512208","0.0009731253376230596","0.9990274310112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP0_ID_051_MOD","582","-","finished","SWP0, modded","q92l2ap1","ricu","","","2023-12-23T06:37:29.000Z","2023-12-23T06:47:11.000Z","2023-12-23T06:47:11.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00002","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_00_modded/run_051","pcid_0673","18_sweeps","1","0.9","0.999","0","1","0","1","false","0.12","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.6908292147171884","0.00004659997648559511","{""_type"":""histogram"",""bins"":[1.433195393474307e-7,0.000006408981789718382,0.000012674644494836684,0.000018940307199954987,0.000025205968995578587,0.00003147163079120219,0.00003773729258682579,0.00004400295438244939,0.000050268619816051796,0.000056534281611675397,0.00006279993976932019,0.00006906560156494379,0.000075331270636525,0.0000815969324321486,0.0000878625942277722,0.0000941282560233958,0.00010039391781901941,0.00010665957961464301,0.00011292524141026661,0.00011919090320589021,0.00012545657227747142,0.00013172223407309502,0.00013798789586871862,0.00014425355766434222,0.00015051921945996583,0.00015678488125558943,0.00016305054305121303,0.00016931620484683663,0.00017558186664246023,0.00018184752843808383,0.00018811319023370743,0.00019437885202933103,0.00020064451382495463],""values"":[68,62,54,68,58,54,54,50,47,37,39,30,24,18,21,22,16,8,9,6,6,7,2,3,0,1,1,1,0,1,0,1]}","0.700164744645799","27","56","0.601378858089447","23","48","77","1.122077703475952","0.9576616287231444","0.4312398135662079","0.006519187707453966","0.9935025572776794","0.00816415250301361","0.991872251033783","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP1_ID_061_VAN","1527","-","finished","SWP1, vanilla","182kvm2r","ricu","","","2023-12-23T06:36:36.000Z","2023-12-23T07:02:03.000Z","2023-12-23T07:02:03.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00006","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_01_vanilla/run_061","pcid_0711","18_sweeps","2","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.7408017572762219","","","0.7428153029470986","223","448","0.6085956692695618","19","40","273","1.5064104795455933","0.9754446744918824","0.4641228914260864","","","0.00029558411915786564","0.9997045397758484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18_SWP1_ID_060_VAN","397","-","finished","SWP1, vanilla","b79cvnai","ricu","","","2023-12-23T06:29:37.000Z","2023-12-23T06:36:14.000Z","2023-12-23T06:36:14.000Z","","drax","","","","2","NVIDIA A40","25","4","0.00006","800","400","80","/home/lange/fantastic-umbrella/runs/18_sweeps_01_vanilla/run_060","pcid_0711","18_sweeps","1","0.9","0.999","","1","0","1","false","0.16","linear","128","bert-base-uncased","0","false","128","32","false","all","","qnli","","64","","false","0.1","0.01","true","0.7063884312648728","","","0.7093172249679663","19","40","0.5873979926109314","17","36","69","1.476792812347412","0.9792754650115968","0.467331737279892","","","0.0014378802152350545","0.9985632300376892","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
