"Name","Runtime","Notes","Tags","State","ID","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","insert_dropout","param_config_id","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","eval_loss","eval_p_max","eval_p_var","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","vector_norms","test_accuracy_best_accuracy","test_accuracy_best_eval_loss"
"18_SWP7_ID_259_VAN","179","-","SWP7, vanilla","finished","gjn83udy","ricu","","","2023-12-27T10:54:20.000Z","2023-12-27T10:57:19.000Z","2023-12-27T10:57:19.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1012","2","0.9","0.999","","1","0","25","4","1","false","0.00001","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_259","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","0.9260008931159972","0.9125794768333436","0.36479535698890686","","","","","","","","","","","","","0.6091015338897705","47","96","","","","0.18443806598205667","81","164","","","","","","","131","","","","","","0.16080299290332545","","","","","","","","","0.04115399718284607","0.9608189463615416","","",""
"18_SWP7_ID_258_VAN","198","-","SWP7, vanilla","finished","7iiysd9w","ricu","","","2023-12-27T10:50:48.000Z","2023-12-27T10:54:06.000Z","2023-12-27T10:54:06.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1012","1","0.9","0.999","","1","0","25","4","1","false","0.00001","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_258","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.0437368154525757","0.9514721035957336","0.4189580082893371","","","","","","","","","","","","","0.6211833357810974","39","80","","","","0.10442601688751307","95","192","","","","","","","145","","","","","","0.08917806918327038","","","","","","","","","0.057766467332839966","0.9489626884460448","","",""
"18_SWP7_ID_257_VAN","132","-","SWP7, vanilla","finished","n8t8o1iv","ricu","","","2023-12-27T10:48:22.000Z","2023-12-27T10:50:34.000Z","2023-12-27T10:50:34.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1011","3","0.9","0.999","","2","0","25","4","1","false","0.00002","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_257","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.435816526412964","0.9288663864135742","0.39355289936065674","","","","","","","","","","","","","0.614869236946106","25","52","","","","0.02554490917593157","45","92","","","","","","","95","","","","","","-0.00671066510316582","","","","","","","","","0.012483833357691765","0.987697958946228","","",""
"18_SWP7_ID_256_VAN","105","-","SWP7, vanilla","finished","0kw9x95x","ricu","","","2023-12-27T10:46:23.000Z","2023-12-27T10:48:08.000Z","2023-12-27T10:48:08.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1011","2","0.9","0.999","","2","0","25","4","1","false","0.00002","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_256","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.1866896152496338","0.9172550439834596","0.3741483688354492","","","","","","","","","","","","","0.6327168345451355","13","28","","","","0.06162160912301605","23","48","","","","","","","73","","","","","","0.033547801964528896","","","","","","","","","0.021268337965011597","0.9790621995925904","","",""
"18_SWP7_ID_255_VAN","179","-","SWP7, vanilla","finished","f2x9eq4b","ricu","","","2023-12-27T10:43:10.000Z","2023-12-27T10:46:09.000Z","2023-12-27T10:46:09.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1011","1","0.9","0.999","","2","0","25","4","1","false","0.00002","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_255","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.425968050956726","0.9625906944274902","0.441169798374176","","","","","","","","","","","","","0.6206299066543579","17","36","","","","0.06694283440364253","79","160","","","","","","","129","","","","","","0.04278349947338047","","","","","","","","","0.01914903149008751","0.9833584427833556","","",""
"18_SWP7_ID_254_VAN","161","-","SWP7, vanilla","finished","y8wlir1w","ricu","","","2023-12-27T10:40:16.000Z","2023-12-27T10:42:57.000Z","2023-12-27T10:42:57.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1010","3","0.9","0.999","","1","0","25","4","1","false","0.00002","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_254","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.625880479812622","0.9284388422966005","0.39489439129829407","","","","","","","","","","","","","0.6119521856307983","31","64","","","","0.0762915346744345","67","136","","","","","","","117","","","","","","0.0603328731107551","","","","","","","","","0.01143562328070402","0.9894365668296814","","",""
"18_SWP7_ID_253_VAN","210","-","SWP7, vanilla","finished","lumdyt7c","ricu","","","2023-12-27T10:36:33.000Z","2023-12-27T10:40:03.000Z","2023-12-27T10:40:03.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1010","2","0.9","0.999","","1","0","25","4","1","false","0.00002","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_253","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.2583245038986206","0.946237087249756","0.4198956489562988","","","","","","","","","","","","","0.6028450727462769","29","60","","","","0.1966133670070162","105","212","","","","","","","155","","","","","","0.16162114244034662","","","","","","","","","0.040195539593696594","0.9923686385154724","","",""
"18_SWP7_ID_252_VAN","149","-","SWP7, vanilla","finished","izcjk29q","ricu","","","2023-12-27T10:33:50.000Z","2023-12-27T10:36:19.000Z","2023-12-27T10:36:19.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1010","1","0.9","0.999","","1","0","25","4","1","false","0.00002","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_252","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.4170374870300293","0.980366051197052","0.4675934314727783","","","","","","","","","","","","","0.6183630228042603","31","64","","","","0.12164880591258136","57","116","","","","","","","107","","","","","","0.09712074325395166","","","","","","","","","0.0339028500020504","0.9845958352088928","","",""
"18_SWP7_ID_251_VAN","116","-","SWP7, vanilla","finished","p8xj0vcg","ricu","","","2023-12-27T10:31:40.000Z","2023-12-27T10:33:36.000Z","2023-12-27T10:33:36.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1009","3","0.9","0.999","","2","0","25","4","1","false","0.00004","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_251","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.896746039390564","0.9491209387779236","0.4254213273525238","","","","","","","","","","","","","0.6122931838035583","17","36","","","","0.04418950337987749","33","68","","","","","","","83","","","","","","0.01705605514152639","","","","","","","","","0.003241541562601924","0.9967759251594543","","",""
"18_SWP7_ID_250_VAN","99","-","SWP7, vanilla","finished","vwm0z7sq","ricu","","","2023-12-27T10:29:46.000Z","2023-12-27T10:31:25.000Z","2023-12-27T10:31:25.000Z","","drax","","","","2","NVIDIA A40","0.32","pcid_1009","2","0.9","0.999","","2","0","25","4","1","false","0.00004","linear","128","400","bert-base-uncased","","200","40","0","/home/lange/fantastic-umbrella/runs/18_sweeps_07_vanilla/run_250","false","128","32","false","all","18_sweeps","","cola","","64","","false","0.1","0.01","true","","1.5368531942367554","0.9439024925231934","0.4158463180065155","","","","","","","","","","","","","0.6271514296531677","17","36","","","","0.0984262161299212","15","32","","","","","","","67","","","","","","0.06671529477637093","","","","","","","","","0.011484608054161072","0.989608883857727","","",""
