"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","insert_dropout","learning_rate","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","epoch","eval_loss","eval_loss.min","eval_loss_mm","eval_p_max","eval_p_max_mm","eval_p_var","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","test_accuracy_best_accuracy","test_accuracy_best_eval_loss","test_accuracy_best_f1","test_f1_best_accuracy","test_f1_best_eval_loss","test_f1_best_f1","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","vector_norms"
"23_S1_ID_229_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T01:59:10.000Z","140","","2adsd7ho","","","2024-01-11T02:01:30.000Z","2024-01-11T02:01:30.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","2","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_229","false","pcid_1945","128","32","","all","23_sweeps","2","","rte","","64","","","0.1","0.01","true","0.6014492753623188","","","","","","","","","","0.6159420289855072","38","78","0.8678120374679565","19","40","","","","","","","","","","","","","118","1.9500083923339844","","","0.94648540019989","","0.4229189157485962","","","","","","","0.592057761732852","","","","","","","","","","","0.0026151963975280523","0.9973967671394348",""
"23_S1_ID_228_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T01:56:27.000Z","147","","fg05bh6r","","","2024-01-11T01:58:54.000Z","2024-01-11T01:58:54.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","2","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_228","false","pcid_1945","128","32","","all","23_sweeps","1","","rte","","64","","","0.1","0.01","true","0.5942028985507246","","","","","","","","","","0.6159420289855072","51","104","0.8450305461883545","23","48","","","","","","","","","","","","","131","1.782650351524353","","","0.92744779586792","","0.3977394104003906","","","","","","","0.5884476534296029","","","","","","","","","","","0.0042134299874305725","0.995841145515442",""
"23_S1_ID_227_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T01:53:32.000Z","159","","tx91j62c","","","2024-01-11T01:56:11.000Z","2024-01-11T01:56:11.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","1","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_227","false","pcid_1944","128","32","","all","23_sweeps","3","","rte","","64","","","0.1","0.01","true","0.6086956521739131","","","","","","","","","","0.6159420289855072","45","92","0.8287603259086609","23","48","","","","","","","","","","","","","125","1.855215311050415","","","0.955138385295868","","0.4320619702339173","","","","","","","0.631768953068592","","","","","","","","","","","0.001960247289389372","0.9980435371398926",""
"23_S1_ID_226_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T01:49:21.000Z","235","","yrev4n3g","","","2024-01-11T01:53:16.000Z","2024-01-11T01:53:16.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","1","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_226","false","pcid_1944","128","32","","all","23_sweeps","2","","rte","","64","","","0.1","0.01","true","0.6195652173913043","","","","","","","","","","0.6376811594202898","119","240","0.8309147357940674","21","44","","","","","","","","","","","","","199","1.9169275760650637","","","0.9567832350730896","","0.4359170794486999","","","","","","","0.6137184115523465","","","","","","","","","","","0.0014497904339805243","0.99855375289917",""
"23_S1_ID_225_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T01:46:03.000Z","182","","a5dimk9n","","","2024-01-11T01:49:05.000Z","2024-01-11T01:49:05.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","1","0","80","2","","false","0.28","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_225","false","pcid_1944","128","32","","all","23_sweeps","1","","rte","","64","","","0.1","0.01","true","0.6195652173913043","","","","","","","","","","0.6376811594202898","62","126","0.8175530433654785","23","48","","","","","","","","","","","","","142","1.762151122093201","","","0.9473866820335388","","0.4248730540275574","","","","","","","0.6425992779783394","","","","","","","","","","","0.0016978922067210078","0.9983047842979432",""
"23_S1_ID_224_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T01:43:48.000Z","120","","sy08sf9o","","","2024-01-11T01:45:48.000Z","2024-01-11T01:45:48.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","5","0","80","2","","false","0.24","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_224","false","pcid_1943","128","32","","all","23_sweeps","3","","rte","","64","","","0.1","0.01","true","0.5797101449275363","","","","","","","","","","0.605072463768116","25","52","0.7930895090103149","20","42","","","","","","","","","","","","","105","1.9597630500793457","","","0.9479191303253174","","0.4189619719982147","","","","","","","0.6028880866425993","","","","","","","","","","","0.002483520656824112","0.997528076171875",""
"23_S1_ID_223_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T01:41:23.000Z","129","","b5m8hwsj","","","2024-01-11T01:43:32.000Z","2024-01-11T01:43:32.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","5","0","80","2","","false","0.24","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_223","false","pcid_1943","128","32","","all","23_sweeps","2","","rte","","64","","","0.1","0.01","true","0.5760869565217391","","","","","","","","","","0.6123188405797102","25","52","0.7830853462219238","17","36","","","","","","","","","","","","","105","1.8321330547332764","","","0.92583966255188","","0.3948576450347901","","","","","","","0.6137184115523465","","","","","","","","","","","0.002676586387678981","0.9973303079605104",""
"23_S1_ID_222_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T01:39:07.000Z","118","","h7d0ayqf","","","2024-01-11T01:41:05.000Z","2024-01-11T01:41:05.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","5","0","80","2","","false","0.24","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_222","false","pcid_1943","128","32","","all","23_sweeps","1","","rte","","64","","","0.1","0.01","true","0.5797101449275363","","","","","","","","","","0.6123188405797102","23","48","0.7900017499923706","19","40","","","","","","","","","","","","","103","1.792896032333374","","","0.9299094080924988","","0.3961467444896698","","","","","","","0.592057761732852","","","","","","","","","","","0.002581454813480377","0.9974242448806764",""
"23_S1_ID_221_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T01:36:47.000Z","124","","fps2wkfu","","","2024-01-11T01:38:51.000Z","2024-01-11T01:38:51.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","4","0","80","2","","false","0.24","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_221","false","pcid_1942","128","32","","all","23_sweeps","3","","rte","","64","","","0.1","0.01","true","0.5398550724637681","","","","","","","","","","0.6123188405797102","25","52","0.801239013671875","15","32","","","","","","","","","","","","","105","1.986889362335205","","","0.9488322138786316","","0.4217739701271057","","","","","","","0.5703971119133574","","","","","","","","","","","0.0020862570963799953","0.9979168176651",""
"23_S1_ID_220_VAN","finished","-","ricu","SWP1, vanilla","2024-01-11T01:34:13.000Z","139","","cov34upa","","","2024-01-11T01:36:32.000Z","2024-01-11T01:36:32.000Z","drax","","","","2","NVIDIA A40","0.9","0.999","","4","0","80","2","","false","0.24","0.00002","linear","128","800","/home/lange/fantastic-umbrella/it_reference","false","400","80","","/home/lange/fantastic-umbrella/runs/23_sweeps_01_vanilla/run_220","false","pcid_1942","128","32","","all","23_sweeps","2","","rte","","64","","","0.1","0.01","true","0.5579710144927537","","","","","","","","","","0.5978260869565217","28","58","0.785037636756897","15","32","","","","","","","","","","","","","108","1.9327820539474487","","","0.9426404237747192","","0.4143091142177582","","","","","","","0.5848375451263538","","","","","","","","","","","0.00755731388926506","0.9931846857070924",""
