"Name","Runtime","Notes","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","insert_dropout","learning_rate","param_config_id","seed","beta1","beta2","catch_dropout","dataset_seed","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","lr_scheduler_type","max_length","max_train_steps","model_name_or_path","no_checkpointing","num_train_epochs","num_warmup_steps","original_gradient_fraction","output_dir","pad_to_max_length","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","task","task_name","train_data_frac","training_size","use_modded","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_st2_loss","train_st2_p_max","accuracy.max","accuracy_mm","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_loss_mm","eval_p_max_mm","eval_p_var_mm","f1","matthews_correlation","pearson","spearmanr","test_accuracy","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","vector_norms"
"19_S1_ID_124_VAN","223","-","NEW_GRAD_OUTPUT, SWP1, vanilla","klocdoeb","finished","ricu","","","2024-01-04T08:42:00.000Z","2024-01-04T08:45:43.000Z","2024-01-04T08:45:43.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00004","pcid_1409","2","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_124","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7439136005857587","0.7589236683141132","8","288","0.5901210308074951","3","128","13","1.084664821624756","0.9674878716468812","0.4487187266349793","0.04806280508637428","0.9797261357307434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_123_VAN","223","-","NEW_GRAD_OUTPUT, SWP1, vanilla","sr5a80az","finished","ricu","","","2024-01-04T08:37:56.000Z","2024-01-04T08:41:39.000Z","2024-01-04T08:41:39.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00004","pcid_1409","1","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_123","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.6860699249496613","0.7708218927329307","8","288","0.552596390247345","2","96","13","1.316781520843506","0.9692071676254272","0.4518471956253052","0.06891626864671707","0.9799950122833252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_122_VAN","223","-","NEW_GRAD_OUTPUT, SWP1, vanilla","shd2sk5t","finished","ricu","","","2024-01-04T08:33:54.000Z","2024-01-04T08:37:37.000Z","2024-01-04T08:37:37.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00006","pcid_1408","3","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_122","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7076697785099763","0.7289035328574044","8","288","0.6280694007873535","1","64","13","1.2337032556533811","0.9587758779525756","0.43891191482543945","0.056385185569524765","0.9831209778785706","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_121_VAN","162","-","NEW_GRAD_OUTPUT, SWP1, vanilla","cnellygp","finished","ricu","","","2024-01-04T08:30:50.000Z","2024-01-04T08:33:32.000Z","2024-01-04T08:33:32.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00006","pcid_1408","2","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_121","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7503203368112759","0.781072670693758","4","160","0.5228395462036133","4","160","9","0.8775767087936401","0.9468998312950134","0.42168954014778137","0.07182729989290237","0.9714174270629884","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_120_VAN","180","-","NEW_GRAD_OUTPUT, SWP1, vanilla","nv64s172","finished","ricu","","","2024-01-04T08:27:29.000Z","2024-01-04T08:30:29.000Z","2024-01-04T08:30:29.000Z","","drax","","","","2","NVIDIA A40","0.32","0.00006","pcid_1408","1","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_120","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7624016108365367","0.7730184880102507","5","192","0.5677818655967712","2","96","10","0.935918152332306","0.9631280899047852","0.444179892539978","0.055285826325416565","0.9765456318855286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_119_VAN","268","-","NEW_GRAD_OUTPUT, SWP1, vanilla","mh7qy752","finished","ricu","","","2024-01-04T08:22:39.000Z","2024-01-04T08:27:07.000Z","2024-01-04T08:27:07.000Z","","drax","","","","2","NVIDIA A40","0.28","0.000008","pcid_1407","3","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_119","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7252425407285374","0.7358594179022515","11","384","0.5735271573066711","8","288","16","0.7026993632316589","0.8948982357978821","0.32939741015434265","0.26631078124046326","0.8702712655067444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_118_VAN","312","-","NEW_GRAD_OUTPUT, SWP1, vanilla","ky5ciicr","finished","ricu","","","2024-01-04T08:17:07.000Z","2024-01-04T08:22:19.000Z","2024-01-04T08:22:19.000Z","","drax","","","","2","NVIDIA A40","0.28","0.000008","pcid_1407","2","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_118","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.752516932088596","0.76258466044298","14","480","0.5261818170547485","9","320","19","0.6196132302284241","0.8968088030815125","0.3333475589752197","0.2646682560443878","0.8740190863609314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_117_VAN","384","-","NEW_GRAD_OUTPUT, SWP1, vanilla","307sz0ns","finished","ricu","","","2024-01-04T08:10:22.000Z","2024-01-04T08:16:46.000Z","2024-01-04T08:16:46.000Z","","drax","","","","2","NVIDIA A40","0.28","0.000008","pcid_1407","1","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_117","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.76203551162365","0.7700896943071572","19","640","0.5222152471542358","8","288","24","0.6017791628837585","0.9082843661308287","0.35105106234550476","0.22058092057704928","0.9039045572280884","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_116_VAN","221","-","NEW_GRAD_OUTPUT, SWP1, vanilla","7j0jrp9x","finished","ricu","","","2024-01-04T08:06:20.000Z","2024-01-04T08:10:01.000Z","2024-01-04T08:10:01.000Z","","drax","","","","2","NVIDIA A40","0.28","0.00001","pcid_1406","3","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_116","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7246933919092073","0.7431814021599854","8","288","0.5649949908256531","5","192","13","0.7452703714370728","0.910098433494568","0.35276126861572266","0.2608170509338379","0.8882904052734375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_115_VAN","238","-","NEW_GRAD_OUTPUT, SWP1, vanilla","uosj33yw","finished","ricu","","","2024-01-04T08:02:01.000Z","2024-01-04T08:05:59.000Z","2024-01-04T08:05:59.000Z","","drax","","","","2","NVIDIA A40","0.28","0.00001","pcid_1406","2","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_115","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7550796265788029","0.7695405454878272","9","320","0.53482586145401","9","320","14","0.6293588876724243","0.903694212436676","0.3450169563293457","0.2479919791221619","0.8881745934486389","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_114_VAN","265","-","NEW_GRAD_OUTPUT, SWP1, vanilla","tvzxz0ao","finished","ricu","","","2024-01-04T07:57:16.000Z","2024-01-04T08:01:41.000Z","2024-01-04T08:01:41.000Z","","drax","","","","2","NVIDIA A40","0.28","0.00001","pcid_1406","1","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_114","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7704557935200439","0.7717371407651473","11","384","0.5275664329528809","6","224","16","0.59834885597229","0.911007523536682","0.3561014235019684","0.21781305968761444","0.911033034324646","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_113_VAN","163","-","NEW_GRAD_OUTPUT, SWP1, vanilla","5ttvyfhl","finished","ricu","","","2024-01-04T07:54:10.000Z","2024-01-04T07:56:53.000Z","2024-01-04T07:56:53.000Z","","drax","","","","2","NVIDIA A40","0.28","0.00002","pcid_1405","3","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_113","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7342119714442614","0.7629507596558668","4","160","0.5246875882148743","4","160","9","0.7877293825149536","0.9307624697685242","0.3888780474662781","0.16370610892772677","0.930599808692932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_112_VAN","163","-","NEW_GRAD_OUTPUT, SWP1, vanilla","znet3ljb","finished","ricu","","","2024-01-04T07:51:06.000Z","2024-01-04T07:53:49.000Z","2024-01-04T07:53:49.000Z","","drax","","","","2","NVIDIA A40","0.28","0.00002","pcid_1405","2","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_112","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7444627494050888","0.7850997620355116","4","160","0.48678097128868103","4","160","9","0.6514213681221008","0.9109965562820436","0.35983285307884216","0.20899952948093417","0.907819390296936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_111_VAN","223","-","NEW_GRAD_OUTPUT, SWP1, vanilla","vq6944cb","finished","ricu","","","2024-01-04T07:47:01.000Z","2024-01-04T07:50:44.000Z","2024-01-04T07:50:44.000Z","","drax","","","","2","NVIDIA A40","0.28","0.00002","pcid_1405","1","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_111","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7393373604246751","0.7722862895844774","8","288","0.516517698764801","4","160","13","0.8858789801597595","0.9551177620887756","0.4269581735134125","0.09215202182531355","0.9644402861595154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19_S1_ID_110_VAN","163","-","NEW_GRAD_OUTPUT, SWP1, vanilla","7w6oqski","finished","ricu","","","2024-01-04T07:43:57.000Z","2024-01-04T07:46:40.000Z","2024-01-04T07:46:40.000Z","","drax","","","","2","NVIDIA A40","0.28","0.00004","pcid_1404","3","0.9","0.999","","1","0","5","32","1","false","linear","128","800","bert-base-uncased","","25","80","0","/home/lange/fantastic-umbrella/runs/19_sweeps_01_vanilla/run_110","false","128","32","false","all","19_sweeps","","qnli","","1024","","false","0.1","0.01","true","0.7235950942705474","0.7666117517847336","4","160","0.577143669128418","4","160","9","1.0989291667938232","0.9625927805900574","0.4410147964954376","0.05675950273871422","0.981313705444336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
